experiment_name,projection_mode,source,seed,first_split_size,other_split_size,backbone,schedule,batch_size,svd_thres,sfcl_tau1,sfcl_tau2,use_shared_lowrank,use_task_strength,use_intra_task_distill,final_acc,final_bwt,run_dir,status,notes
nscl_historical_baseline,nscl,historical_baseline_log,0,10,10,resnet18,30|60|80,32,10,,,false,false,false,73.37,-1.644444444444441,/home/moshiling/Adam-NSCL-resnet18+AdNS /train_thres_10.log,completed,historical baseline from train_thres_10.log
sfcl_quick10_seed0,sfcl,new_run,0,10,10,resnet18,1,32,10.0,10.0,10.0,false,false,false,43.17,-1.0111111111111104,/home/moshiling/Adam-NSCL-resnet18+AdNS /Adam-NSCL-main/results/adns_sfcl_port/runs/sfcl_quick10_seed0,completed,quick validation run with schedule=1
sfcl_adns_quick10_seed0,sfcl_adns,new_run,0,10,10,resnet18,1,32,10.0,10.0,10.0,true,true,true,48.36999999999999,-9.644444444444446,/home/moshiling/Adam-NSCL-resnet18+AdNS /Adam-NSCL-main/results/adns_sfcl_port/runs/sfcl_adns_quick10_seed0,completed,quick validation run with schedule=1 and teacher_warmup_epochs=1
sfcl_full_seed0_v2,sfcl,new_run,0,10,10,resnet18,30|60|80,32,10.0,10.0,10.0,false,false,false,,,/home/moshiling/Adam-NSCL-resnet18+AdNS /Adam-NSCL-main/results/adns_sfcl_port/runs/sfcl_full_seed0_v2,running,full 80-epoch run still in progress
sfcl_adns_full_seed0_v2,sfcl_adns,new_run,0,10,10,resnet18,30|60|80,32,10.0,10.0,10.0,true,true,true,,,/home/moshiling/Adam-NSCL-resnet18+AdNS /Adam-NSCL-main/results/adns_sfcl_port/runs/sfcl_adns_full_seed0_v2,running,full 80-epoch run still in progress
